city,newcity1,newcountry1
&ccedil;anakkale (turkey),ccedilanakkale,turkey
&iacute;safj&ouml;r&eth;ur (iceland),iacutesafjoumlrethur,iceland
&ouml;lmstad (sweden),oumllmstad,sweden
1-25 corridor (southbound&#44 65 miles north nm border),125 corridor,
100 mile (canada),100 mile,canada
100 mile house (canada),100 mile house,canada
29 palms,29 palms,
?,,
??,,
a field outside small town,a field outside small town,
a55 northope (uk/north wales),a55 northope,uk
aachen (near cologne) (germany),aachen,near cologne germany
aalborg (denmark),aalborg,denmark
aalst (belgium),aalst,belgium
aandurah (western australia),aandurah,australia
aarhus (denmark),aarhus,denmark
aarle-rixtel (netherlands),aarlerixtel,netherlands
abadania (brazil),abadania,brazil
abarkooh (iran),abarkooh,iran
abbeville,abbeville,
abbeville (lake secession),abbeville,lake secession
abbotsford (canada),abbotsford,canada
abercarn (uk/wales),abercarn,uk
aberdare (uk/wales),aberdare,uk
aberdeen,aberdeen,
aberdeen (uk/scotland),aberdeen,uk
abersoch (uk/wales),abersoch,uk
abilene,abilene,
abilene and ft. worth (interstate 20 east between),abilene and ft worth,
abingdon,abingdon,
abingdon (uk/england),abingdon,uk
abington,abington,
abita springs,abita springs,
abrantes (portugal),abrantes,portugal
absecon,absecon,
abu dhabi (u. a. e.),abu dhabi,united arab emirates
abu dhabi (u.a.e.),abu dhabi,united arab emirates
abu dhabi (uae),abu dhabi,united arab emirates
abu dhabi (united arab emirates),abu dhabi,united arab emirates
abu gosh (israel),abu gosh,israel
abuja (nigeria),abuja,nigeria
academy,academy,
acambaro (mexico),acambaro,mexico
acampo,acampo,
acapulco (guerrero&#44 mexico),acapulco,mexico
accokeek,accokeek,
accokeek (on hwy 210),accokeek,
accord,accord,
accra (ghana),accra,ghana
accrington (uk/england),accrington,uk
accrington&#44 lancashire (uk/england),accrington44 lancashire,uk
achusnet,achusnet,
ackerman,ackerman,
ackworth (uk/england),ackworth,uk
acme,acme,
acton,acton,
acton (approx.),acton,approx
acton (canada),acton,canada
acton to chelmsford,acton to chelmsford,
acton vale (canada),acton vale,canada
acton/aqua dulce,actonaqua dulce,
acushnet,acushnet,
acworth,acworth,
ada,ada,
adachi (japan),adachi,japan
adachi-ku (tokyo) (japan),adachiku,japan
adair,adair,
adair county,adair county,
adairsville,adairsville,
adairville,adairville,
adak,adak,
adams,adams,
adams county,adams county,
adams county (on co. hwy. d),adams county,on co hwy d
adams/friendship (in eastern sky),adamsfriendship,
adamsville,adamsville,
addingham (uk/england),addingham,uk
addis ababa (ethiopia),addis ababa,ethiopia
addis abeba (ethiopia),addis abeba,ethiopia
addison,addison,
addison (i-355 and us 20 (lake st.),addison,i355 and us 20 lake st
addlestone (near heathrow airport) (uk/england),addlestone,near heathrow airport uk
addlestone (uk/england),addlestone,uk
addy,addy,
adel,adel,
adelaide,adelaide,
adelaide  (south australia),adelaide,south australia
adelaide (australia),adelaide,australia
adelaide (pt. wakefield) (south australia),adelaide,pt wakefield south australia
adelaide (south australia),adelaide,south australia
adelanto,adelanto,
adjuntas (puerto rico),adjuntas,puerto rico
adkins,adkins,
adrian,adrian,
adrian/jackson (between),adrianjackson,
adriatic sea (near hvar) (croatia),adriatic sea,croatia
advance,advance,
aegean sea (greece),aegean sea,greece
aegean sea (turkey/greece),aegean sea,turkey
afghanistan,afghanistan,
afghanistan ((military report)),afghanistan,afghanistan
afghanistan (forward operating base),afghanistan,afghanistan
afton,afton,
afton (st. louis co.),afton,
agawam,agawam,
agency,agency,
agoura hills,agoura hills,
agra,agra,
agria - volos (greece),agria volos,greece
agua dulce,agua dulce,
aguanga,aguanga,
aguila,aguila,
aguilar,aguilar,
